id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe
640100,2021-10-31 09:39:57,银川,3,,,,,,53,0,35,0,0
640300,2021-10-31 00:04:47,吴忠,0,,,,,,39,0,28,0,0
640400,2021-10-31 00:04:48,固原,0,,,,,,5,0,5,0,0
640500,2021-10-31 00:04:47,中卫,0,,,,,,4,0,3,0,0
C202006211404161,2021-10-31 00:04:47,境外输入,0,,,,,,4,0,4,0,0
640200,2021-10-31 00:04:48,石嘴山,0,,,,,,1,0,1,0,0
C202006211404165,2021-10-31 00:04:48,宁东管委会,0,,,,,,1,0,1,0,0
95777,2020-06-21 14:23:16,宁东,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
926400,2020-06-21 14:23:22,未明确地区,0,0.0,0.0,0.0,0.0,,0,0,0,0,0
